Title,Album,Artist,Duration,Index
Sweet Jane,The Trinity Session,Cowboy Junkies,214000,303
Sweet Sour,Sweet Sour,Band of Skulls,203000,313
Take Five,Time Out,Dave Brubeck Quartet,324636,428
Taxman,Revolver,The Beatles,158340,118
Tenderness,All The Rage,General Public,218000,284
Tennis Court,Pure Heroine,Lorde,198000,29
The 5th Exotic,The 5th Exotic,Quantic,247000,377
The Candy Man,Viva! La Woman,Cibo Matto,190684,263
The Caterpillar,Staring At The Sea: The Singles,The Cure,219258,343
The Con,The Con,Tegan And Sara,209000,50
The End,Newcomer,Llorca,445000,14
The Fear,"It&#39;s Not Me, It&#39;s You",Lily Allen,207000,105
The Garden,The Garden,Cut Chemist,375000,348
The Guns of Brixton,London Calling,Clash,192468,271
The Hop (feat. Bajka),Berlin Serengeti,Radio Citizen,214000,22
The Horse,The Best Of Booker T. &amp; the MG,Booker T. &amp; the MGs,165594,188
The Joker,Palookaville (Parental Advisory),Fatboy Slim,321000,36
The Keeper,Black Sands,Bonobo (feat. Andreya Triana),288964,186
The Love Cats,Staring At The Sea: The Singles,The Cure,220447,342
The Moonbounce,Koop Islands,Koop,166000,46
The Only One I Know,Some Friendly,The Charlatans UK,238130,256
The Right Profile,London Calling,Clash,234629,269
The Scoop,Ill Communication,Beastie Boys,215928,115
The T&#39;aint,Interstate &#39;76 Soundtrack,Bullmark,144638,209
The Truth (feat. Roisin &amp; J-Live),So...How&#39;s Your Girl?,Handsome Boy Modeling School,337000,364
The Walk,Staring At The Sea: The Singles,The Cure,211617,341
The World&#39;s Green Laughter,Good Stuff,The B-52&#39;s,243334,82
Things Can Only Get Better,Best Of,Howard Jones,235000,273
Think I&#39;m In Love,The Information,Beck,199443,124
This Charming Man,The Smiths,The Smiths,162000,56
This Head I Hold,Mondo,Electric Guest,175000,33
This World,Selah Sue,Selah Sue,284000,170
Those Dancing Days Are Gone,No Promises,Carla Bruni,221000,400
Three To Get Ready,Time Out,Dave Brubeck Quartet,322478,429
Time After Time ,She&#39;s So Unusual,Cyndi Lauper,241345,420
Time Is the Enemy,The 5th Exotic,Quantic,223000,376
Tired,19,Adele,258870,59
Tobago Strut,Step It Up,The Bamboos,265000,96
Tonight She Comes,Greatest Hits,The Cars,232206,249
Topaz,Cosmic Thing,The B-52&#39;s,261430,79
Track 05,Interstate &#39;76 Soundtrack,Bullmark,206258,207
Tristesse / joie,Pop Up,Yelle,349000,15
Trouble,Drama,Bitter:Sweet,201000,381
Tttictictac,Speed Emotions,Marbert Rocel,306000,353
Tulip Waltz,Interstate &#39;76 Soundtrack,Bullmark,214708,211
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,256000,99
